lo_orderkey|lo_linenumber|lo_custkey|lo_partkey|lo_suppkey|lo_orderdate|lo_orderpriority|lo_shippriority|lo_quantity|lo_extendedprice|lo_ordertotalprice|lo_discount|lo_revenue|lo_supplycost|lo_tax|lo_commitdate|lo_shipmode
5569|3|22|55|1|19921219|4-NOT SPECI|0|48|4584240|9183084|2|4492555|57303|3|19930203|SHIP
966|6|11|8|2|19971111|3-MEDIUM|0|44|3995200|17779690|3|3875344|54480|4|19980114|AIR
644|6|11|85|2|19941122|2-HIGH|0|33|3250764|16602444|0|3250764|59104|7|19950217|AIR
3424|3|11|50|2|19961016|3-MEDIUM|0|11|1045055|10288975|0|1045055|57003|0|19970103|FOB
5600|2|26|8|2|19970730|3-MEDIUM|0|19|1725200|5767580|0|1725200|54480|1|19970912|TRUCK
4450|2|4|15|1|19940621|5-LOW|0|9|823509|5076480|3|798803|54900|3|19940723|FOB
5060|4|13|23|2|19921008|3-MEDIUM|0|30|2769060|11904156|2|2713678|55381|1|19921220|SHIP
2471|2|10|167|2|19920827|1-URGENT|0|47|5015652|16279592|2|4915338|64029|6|19920926|RAIL
807|1|13|117|2|19940213|3-MEDIUM|0|49|4983839|15573716|0|4983839|61026|0|19940404|REG AIR
1410|3|11|109|2|19930313|4-NOT SPECI|0|37|3733670|11487919|2|3658996|60546|1|19930519|TRUCK
359|2|7|12|2|19960322|5-LOW|0|18|1641618|5145224|0|1641618|54720|3|19960619|RAIL
4390|1|29|152|1|19920630|5-LOW|0|35|3682525|10852929|7|3424748|63129|4|19920809|TRUCK
928|4|28|52|2|19941217|1-URGENT|0|43|4093815|22813649|10|3684433|57123|5|19950205|REG AIR
419|1|8|153|2|19920222|5-LOW|0|33|3475395|3367657|5|3301625|63189|2|19920517|TRUCK
5895|4|13|146|1|19940407|5-LOW|0|31|3243034|20141983|3|3145742|62768|1|19940704|TRUCK
5670|5|29|10|2|19950504|1-URGENT|0|32|2912032|16963862|7|2708189|54600|1|19950718|TRUCK
1381|2|25|34|1|19930427|2-HIGH|0|12|1120836|5821222|7|1042377|56041|8|19930715|AIR
385|3|1|191|2|19970126|4-NOT SPECI|0|44|4801236|11766640|6|4513161|65471|1|19970410|TRUCK
2434|2|25|127|2|19950911|4-NOT SPECI|0|39|4005768|6899942|9|3645248|61627|5|19951023|RAIL
3174|2|4|194|2|19960207|1-URGENT|0|4|437676|9285691|1|433299|65651|5|19960401|RAIL
1121|2|16|161|1|19960803|3-MEDIUM|0|27|2865132|8257519|8|2635921|63669|0|19961016|MAIL
1764|3|28|78|2|19961012|2-HIGH|0|27|2640789|4738471|7|2455933|58684|4|19961128|TRUCK
802|2|10|133|1|19930312|3-MEDIUM|0|34|3512642|13725783|8|3231630|61987|6|19930520|AIR
5925|2|25|125|2|19970828|4-NOT SPECI|0|31|3177872|12181147|3|3082535|61507|3|19970928|FOB
1824|1|17|120|2|19920416|4-NOT SPECI|0|45|4590540|17066986|3|4452823|61207|2|19920602|RAIL
4353|2|1|187|1|19961116|1-URGENT|0|5|543590|12533154|7|505538|65230|6|19961230|AIR
2816|5|10|144|2|19941212|3-MEDIUM|0|21|2192694|10451286|5|2083059|62648|0|19950129|REG AIR
4577|1|22|185|1|19951201|2-HIGH|0|43|4666274|11879290|1|4619611|65110|3|19960207|AIR
4512|2|20|41|2|19940430|3-MEDIUM|0|24|2258496|17367641|4|2168156|56462|6|19940722|SHIP
5856|6|13|143|1|19920714|4-NOT SPECI|0|16|1669024|13508157|4|1602263|62588|4|19921003|FOB
4034|1|10|190|2|19970426|3-MEDIUM|0|48|5232912|17436325|3|5075924|65411|3|19970628|RAIL
358|1|23|191|1|19920303|5-LOW|0|41|4473879|14932155|6|4205446|65471|1|19920427|TRUCK
4545|2|22|63|1|19930823|3-MEDIUM|0|27|2600262|7813114|1|2574259|57783|6|19930924|FOB
256|4|10|159|2|19931229|1-URGENT|0|3|317745|12551354|9|289147|63549|6|19940326|SHIP
5984|1|23|70|2|19920422|2-HIGH|0|13|1261091|11862096|6|1185425|58204|7|19920711|MAIL
3459|4|20|69|1|19930131|1-URGENT|0|10|969060|15152160|5|920607|58143|6|19930322|REG AIR
5351|4|13|30|2|19970424|2-HIGH|0|35|3255105|12551659|7|3027247|55801|8|19970621|RAIL
2471|6|10|55|1|19920827|1-URGENT|0|10|955050|16279592|0|955050|57303|1|19921025|AIR
5862|2|10|2|2|19960928|3-MEDIUM|0|29|2615800|3055090|3|2537326|54120|5|19961122|FOB
4769|2|19|63|2|19921214|1-URGENT|0|34|3274404|12151659|6|3077939|57783|7|19930117|REG AIR
1412|2|16|156|2|19950816|1-URGENT|0|20|2112300|5361540|10|1901070|63369|5|19951021|REG AIR
4615|1|28|92|1|19930120|4-NOT SPECI|0|10|992090|7581949|2|972248|59525|8|19930228|AIR
997|4|13|51|2|19930905|5-LOW|0|37|3518885|11559597|7|3272563|57063|3|19931126|MAIL
1216|1|2|97|2|19940620|4-NOT SPECI|0|8|797672|8032346|3|773741|59825|4|19940917|TRUCK
3969|2|22|197|2|19960628|5-LOW|0|26|2852694|6498414|5|2710059|65831|3|19960913|AIR
870|1|1|50|2|19930309|1-URGENT|0|36|3420180|14667920|4|3283372|57003|7|19930605|MAIL
2370|1|7|46|1|19971121|5-LOW|0|3|283812|11139424|3|275297|56762|7|19980128|SHIP
2597|3|29|184|1|19961107|2-HIGH|0|33|3577794|8061621|8|3291570|65050|3|19970112|REG AIR
5958|3|14|153|2|19940618|5-LOW|0|42|4423230|11401394|10|3980907|63189|0|19940721|AIR
4325|5|29|140|1|19950316|2-HIGH|0|26|2704364|15581041|9|2460971|62408|2|19950429|REG AIR
3585|4|16|48|2|19960510|4-NOT SPECI|0|33|3128532|15901539|8|2878249|56882|8|19960706|RAIL
1122|4|16|106|1|19980730|5-LOW|0|40|4024400|17974747|8|3702448|60366|8|19981012|REG AIR
2631|5|5|140|1|19951017|2-HIGH|0|9|936126|12607586|6|879958|62408|7|19960109|MAIL
2470|1|28|110|2|19940109|2-HIGH|0|12|1212132|10496633|6|1139404|60606|6|19940213|FOB
2630|4|16|162|2|19930504|1-URGENT|0|29|3080264|12713251|8|2833842|63729|7|19930715|SHIP
354|4|29|107|2|19940630|4-NOT SPECI|0|7|704970|10937434|6|662671|60426|1|19940804|MAIL
3780|1|13|127|1|19960824|1-URGENT|0|25|2567800|17702063|8|2362376|61627|4|19961112|AIR
2048|1|7|35|1|19940602|4-NOT SPECI|0|7|654521|14060424|6|615249|56101|1|19940818|REG AIR
3527|1|19|102|2|19940518|3-MEDIUM|0|47|4709870|17653566|7|4380179|60126|2|19940625|RAIL
1954|5|26|170|2|19920920|4-NOT SPECI|0|29|3103493|8987959|8|2855213|64210|8|19921104|RAIL
2087|2|7|168|2|19971108|2-HIGH|0|46|4913536|4656326|10|4422182|64089|3|19980108|AIR
4064|1|7|199|1|19970127|4-NOT SPECI|0|3|329757|13810977|10|296781|65951|4|19970420|SHIP
5344|5|8|22|1|19931226|2-HIGH|0|39|3595878|17669714|10|3236290|55321|7|19940322|REG AIR
4870|3|17|31|2|19920822|1-URGENT|0|5|465515|9453407|5|442239|55861|0|19921023|AIR
3621|3|1|164|2|19961226|1-URGENT|0|45|4788720|17726222|7|4453509|63849|7|19970207|AIR
2372|4|1|122|2|19931029|4-NOT SPECI|0|4|408848|7339959|0|408848|61327|7|19931205|REG AIR
4449|1|1|32|2|19941001|1-URGENT|0|42|3914526|6976169|10|3523073|55921|7|19941230|FOB
4704|4|5|187|2|19921229|4-NOT SPECI|0|50|5435900|12505369|0|5435900|65230|0|19930203|FOB
2402|1|16|86|1|19970313|4-NOT SPECI|0|43|4240144|16053222|3|4112939|59164|8|19970527|RAIL
2720|3|7|120|1|19940409|5-LOW|0|50|5100600|8743090|10|4590540|61207|2|19940530|SHIP
1378|3|28|73|1|19960707|3-MEDIUM|0|11|1070377|7746118|10|963339|58384|3|19960906|TRUCK
3809|2|16|133|1|19980416|3-MEDIUM|0|32|3306016|19212954|1|3272955|61987|2|19980517|SHIP
1472|3|14|1|2|19950109|1-URGENT|0|6|540600|6533105|8|497352|54060|1|19950222|FOB
1380|4|28|61|1|19930817|5-LOW|0|33|3171498|15657231|4|3044638|57663|7|19931111|SHIP
5859|2|28|9|2|19970410|3-MEDIUM|0|17|1545300|6593444|3|1498941|54540|3|19970617|AIR
3750|2|17|152|1|19921120|2-HIGH|0|33|3472095|12532722|5|3298490|63129|3|19930110|REG AIR
4739|1|26|168|1|19920707|4-NOT SPECI|0|8|854528|9933738|7|794711|64089|7|19920923|SHIP
101|1|7|119|2|19960620|4-NOT SPECI|0|49|4993639|13491030|10|4494275|61146|0|19960830|REG AIR
610|3|17|118|1|19921021|3-MEDIUM|0|26|2647086|14664319|9|2408848|61086|4|19921128|AIR
4868|4|22|80|1|19940806|3-MEDIUM|0|34|3332272|15900535|4|3198981|58804|2|19941001|RAIL
708|7|28|60|1|19930102|5-LOW|0|26|2496156|12740407|0|2496156|57603|8|19930302|FOB
1760|5|16|142|1|19940820|4-NOT SPECI|0|47|4898058|15690708|9|4457232|62528|1|19941007|FOB
707|2|8|43|1|19980421|1-URGENT|0|22|2074688|11877964|0|2074688|56582|6|19980529|REG AIR
871|1|10|97|1|19950320|1-URGENT|0|48|4786032|13120801|10|4307428|59825|3|19950614|AIR
3520|5|7|163|2|19940926|5-LOW|0|35|3721060|15824190|2|3646638|63789|2|19941026|FOB
5378|5|29|49|2|19971012|1-URGENT|0|29|2752216|15980172|9|2504516|56942|8|19971214|RAIL
5509|2|16|99|2|19941129|1-URGENT|0|17|1698453|14957833|3|1647499|59945|7|19950220|AIR
1476|1|10|31|1|19970803|2-HIGH|0|20|1862060|1879562|2|1824818|55861|3|19971025|AIR
3008|3|2|24|1|19960126|2-HIGH|0|40|3696080|19877307|1|3659119|55441|3|19960325|AIR
993|1|25|175|1|19950531|3-MEDIUM|0|33|3548061|14997030|1|3512580|64510|5|19950818|AIR
2501|2|2|106|2|19930620|3-MEDIUM|0|33|3320130|15619926|1|3286928|60366|4|19930904|MAIL
2947|2|28|186|1|19940412|2-HIGH|0|10|1086180|6974500|9|988423|65170|7|19940612|MAIL
2471|3|10|90|1|19920827|1-URGENT|0|3|297027|16279592|5|282175|59405|3|19921022|MAIL
5184|5|11|124|1|19960803|1-URGENT|0|19|1945828|25086040|6|1829078|61447|3|19961026|REG AIR
35|2|19|162|1|19920603|3-MEDIUM|0|34|3611344|6484159|6|3394663|63729|8|19920817|RAIL
2823|3|10|186|1|19960430|2-HIGH|0|11|1194798|15983430|7|1111162|65170|2|19960715|SHIP
5122|3|5|45|1|19970404|4-NOT SPECI|0|12|1134048|12157201|7|1054664|56702|3|19970620|AIR
2115|1|5|196|1|19970426|2-HIGH|0|27|2959713|13839593|6|2782130|65771|3|19970702|AIR
1155|2|20|196|2|19980114|4-NOT SPECI|0|39|4275141|12690281|8|3933129|65771|5|19980413|TRUCK
4356|1|5|194|1|19970812|1-URGENT|0|35|3829665|3982851|0|3829665|65651|4|19971015|MAIL
3301|4|29|125|1|19971214|4-NOT SPECI|0|35|3587920|11685423|6|3372644|61507|8|19980309|REG AIR
2342|1|4|42|2|19930820|1-URGENT|0|12|1130448|8508828|0|1130448|56522|8|19931006|TRUCK
3939|3|28|156|2|19960829|2-HIGH|0|21|2217915|8202026|2|2173556|63369|8|19961003|REG AIR
3136|1|28|142|2|19940209|4-NOT SPECI|0|30|3126420|14542611|2|3063891|62528|8|19940403|RAIL
1575|3|11|2|1|19940827|5-LOW|0|12|1082400|8998034|1|1071576|54120|5|19941025|AIR
1830|3|22|82|1|19920320|4-NOT SPECI|0|36|3535488|20718621|7|3288003|58924|7|19920509|SHIP
1184|4|13|126|2|19960815|4-NOT SPECI|0|3|307836|3970029|2|301679|61567|5|19961008|REG AIR
3620|4|19|136|2|19951127|5-LOW|0|1|103613|6941811|7|96360|62167|4|19960225|TRUCK
1218|3|10|48|2|19960829|1-URGENT|0|44|4171376|14483274|7|3879379|56882|6|19961112|TRUCK
2918|4|4|186|2|19970924|4-NOT SPECI|0|3|325854|13897045|5|309561|65170|6|19971121|AIR
1889|1|13|152|2|19941215|5-LOW|0|41|4313815|9083142|10|3882433|63129|2|19950208|AIR
2592|4|16|66|1|19921217|1-URGENT|0|36|3477816|8021419|5|3303925|57963|7|19930128|FOB
2690|1|13|140|2|19971202|3-MEDIUM|0|44|4576616|9359621|5|4347785|62408|6|19980120|REG AIR
5761|4|2|15|2|19980626|4-NOT SPECI|0|29|2653529|21786286|2|2600458|54900|6|19980730|SHIP
2502|3|11|40|1|19941120|1-URGENT|0|21|1974084|6621143|9|1796416|56402|0|19950111|REG AIR
3904|1|10|38|2|19920528|3-MEDIUM|0|22|2063666|10746738|4|1981119|56281|3|19920822|REG AIR
5159|4|29|52|1|19970725|3-MEDIUM|0|5|476025|15941296|10|428422|57123|0|19971018|FOB
5346|1|11|149|2|19971108|5-LOW|0|21|2203194|10983513|7|2048970|62948|8|19980118|RAIL
897|1|22|91|2|19980408|5-LOW|0|15|1486635|17298112|7|1382570|59465|4|19980528|REG AIR
1799|1|29|52|1|19931205|3-MEDIUM|0|8|761640|9151374|4|731174|57123|8|19940224|MAIL
2021|4|25|22|2|19920506|5-LOW|0|47|4333494|18815465|0|4333494|55321|0|19920709|FOB
35|3|19|121|2|19920603|3-MEDIUM|0|7|714784|6484159|6|671896|61267|4|19920802|MAIL
5088|1|19|78|2|19970309|1-URGENT|0|23|2249561|15545724|6|2114587|58684|6|19970508|FOB
3171|5|29|175|1|19960810|5-LOW|0|42|4515714|15874413|9|4109299|64510|6|19960918|SHIP
4128|2|22|13|2|19960310|5-LOW|0|10|913010|1431192|6|858229|54780|3|19960525|TRUCK
165|2|25|162|2|19930104|4-NOT SPECI|0|43|4567288|4711597|8|4201904|63729|5|19930324|TRUCK
902|4|14|199|2|19950302|5-LOW|0|15|1648785|14531793|9|1500394|65951|8|19950529|FOB
2144|3|25|4|2|19920914|4-NOT SPECI|0|29|2621600|22277297|0|2621600|54240|7|19921101|FOB
1250|3|29|141|2|19970804|5-LOW|0|34|3539876|8000055|5|3362882|62468|5|19971025|FOB
5409|3|13|141|2|19970516|3-MEDIUM|0|17|1769938|13090110|7|1646042|62468|0|19970811|AIR
3649|1|20|5|1|19980427|1-URGENT|0|25|2262500|9811388|10|2036250|54300|4|19980614|TRUCK
2209|6|19|178|2|19940630|2-HIGH|0|7|754719|13873898|9|686794|64690|7|19940830|AIR
1761|6|25|24|2|19961029|2-HIGH|0|12|1108824|21192595|1|1097735|55441|5|19970111|AIR
3556|4|7|173|2|19960229|1-URGENT|0|3|321951|17262191|7|299414|64390|0|19960412|AIR
2183|4|19|27|2|19920710|2-HIGH|0|17|1575934|18737219|4|1512896|55621|4|19920906|REG AIR
2757|3|25|73|1|19931125|4-NOT SPECI|0|17|1654219|7610286|10|1488797|58384|4|19940202|AIR
3136|6|28|80|1|19940209|4-NOT SPECI|0|29|2842232|14542611|8|2614853|58804|7|19940404|FOB
3360|1|28|174|1|19950729|5-LOW|0|31|3329927|16875048|8|3063532|64450|4|19951016|REG AIR
2022|4|4|182|1|19931115|1-URGENT|0|16|1731488|13849580|5|1644913|64930|3|19940122|TRUCK
3079|4|28|24|1|19961113|4-NOT SPECI|0|2|184804|14829905|0|184804|55441|8|19970118|FOB
3680|2|7|5|1|19970122|2-HIGH|0|41|3710500|17712152|0|3710500|54300|4|19970414|FOB
4352|1|29|106|1|19940930|4-NOT SPECI|0|18|1810980|15556287|0|1810980|60366|3|19941207|RAIL
3905|6|14|174|1|19920819|3-MEDIUM|0|38|4081846|15512573|3|3959390|64450|1|19921112|MAIL
738|1|10|198|2|19950716|3-MEDIUM|0|34|3733846|6958175|0|3733846|65891|6|19950829|TRUCK
3781|2|10|188|1|19931206|4-NOT SPECI|0|39|4243902|11315898|10|3819511|65290|0|19940201|REG AIR
5889|3|10|67|1|19921229|3-MEDIUM|0|38|3674828|7869653|10|3307345|58023|3|19930203|AIR
3009|2|19|185|1|19920114|5-LOW|0|38|4123684|8329143|0|4123684|65110|1|19920224|AIR
4773|4|26|20|2|19950813|4-NOT SPECI|0|49|4508098|15665256|9|4102369|55201|4|19951008|TRUCK
263|4|22|168|1|19970210|3-MEDIUM|0|49|5233984|13859577|9|4762925|64089|0|19970422|FOB
4807|4|28|190|2|19960512|3-MEDIUM|0|32|3488608|11640437|5|3314177|65411|0|19960722|RAIL
2980|1|17|37|1|19950319|2-HIGH|0|2|187406|7350244|9|170539|56221|3|19950426|SHIP
5734|2|5|150|2|19940525|4-NOT SPECI|0|6|630090|10926110|7|585983|63009|0|19940801|RAIL
5543|5|22|80|1|19930430|4-NOT SPECI|0|32|3136256|7934874|3|3042168|58804|3|19930619|AIR
740|3|22|199|1|19941223|5-LOW|0|29|3187651|20275566|6|2996391|65951|5|19950224|FOB
3333|3|10|108|1|19951015|3-MEDIUM|0|38|3830780|15534971|5|3639241|60486|5|19951202|MAIL
5927|1|2|90|1|19920328|1-URGENT|0|44|4356396|10698821|4|4182140|59405|5|19920621|TRUCK
3303|3|1|99|1|19950703|2-HIGH|0|37|3696633|7561182|5|3511801|59945|2|19950924|TRUCK
2371|4|7|43|2|19940312|4-NOT SPECI|0|33|3112032|10230813|5|2956430|56582|8|19940411|AIR
2821|5|16|103|1|19950909|2-HIGH|0|46|4614260|15532280|7|4291261|60186|1|19951118|SHIP
4896|1|4|41|1|19940711|4-NOT SPECI|0|19|1787976|1708410|9|1627058|56462|5|19941002|AIR
5509|6|16|163|2|19941129|1-URGENT|0|5|531580|14957833|6|499685|63789|6|19950204|TRUCK
4932|7|8|95|1|19970217|1-URGENT|0|17|1691653|13845973|5|1607070|59705|3|19970406|TRUCK
608|4|11|104|1|19950802|1-URGENT|0|8|803280|17956204|6|755083|60246|2|19951010|FOB
5638|6|25|156|1|19980723|2-HIGH|0|17|1795455|19096515|7|1669773|63369|0|19980911|FOB
1127|5|25|120|1|19960418|5-LOW|0|50|5100600|19772866|0|5100600|61207|7|19960713|TRUCK
3875|5|4|165|1|19930521|5-LOW|0|39|4154124|17664799|6|3904876|63909|6|19930626|AIR
1345|4|10|170|1|19970620|5-LOW|0|14|1498238|18838494|1|1483255|64210|0|19970726|TRUCK
4768|2|13|57|2|19950620|2-HIGH|0|9|861345|1299815|6|809664|57423|1|19950720|FOB
4934|2|25|110|1|19950226|5-LOW|0|41|4141451|18047816|6|3892963|60606|6|19950420|FOB
868|1|7|168|1|19930620|4-NOT SPECI|0|8|854528|2055005|6|803256|64089|3|19930812|MAIL
134|3|17|189|2|19961219|4-NOT SPECI|0|26|2831868|8430163|9|2576999|65350|6|19970301|RAIL
2694|5|7|108|1|19930608|1-URGENT|0|10|1008100|10280759|8|927452|60486|8|19930822|REG AIR
933|3|10|100|1|19970924|5-LOW|0|26|2600260|16971274|5|2470247|60006|0|19971223|AIR
2531|2|10|157|2|19970324|1-URGENT|0|3|317145|19206313|7|294944|63429|6|19970508|MAIL
739|2|22|4|1|19980707|2-HIGH|0|50|4520000|7296786|7|4203600|54240|6|19980822|MAIL
3301|1|29|169|1|19971214|4-NOT SPECI|0|45|4811220|11685423|4|4618771|64149|5|19980205|FOB
2789|1|25|163|2|19941010|2-HIGH|0|16|1701056|21912327|3|1650024|63789|2|19941221|REG AIR
3301|3|29|145|1|19971214|4-NOT SPECI|0|9|940626|11685423|9|855969|62708|4|19980119|RAIL
5025|1|29|30|2|19970830|2-HIGH|0|11|1023033|15935229|0|1023033|55801|4|19971110|SHIP
4193|2|22|117|2|19930529|4-NOT SPECI|0|3|305133|5016527|9|277671|61026|5|19930807|REG AIR
1120|7|25|183|1|19970110|1-URGENT|0|34|3682812|16503832|5|3498671|64990|5|19970302|FOB
1635|7|16|53|2|19950208|4-NOT SPECI|0|12|1143660|11135774|10|1029294|57183|5|19950504|AIR
4386|2|2|118|1|19960328|2-HIGH|0|28|2850708|4384501|3|2765186|61086|6|19960620|FOB
259|6|10|114|2|19930629|3-MEDIUM|0|20|2028220|9504134|9|1845680|60846|5|19930814|RAIL
5606|2|16|92|1|19960205|1-URGENT|0|34|3373106|12514946|9|3069526|59525|6|19960503|REG AIR
133|2|13|177|2|19951021|4-NOT SPECI|0|12|1292604|17306512|2|1266751|64630|6|19951207|REG AIR
1859|3|14|158|2|19940103|3-MEDIUM|0|5|529075|9366491|6|497330|63489|3|19940211|AIR
2915|3|19|136|1|19971209|4-NOT SPECI|0|15|1554195|16477299|7|1445401|62167|0|19980220|TRUCK
1543|3|22|67|1|19980402|5-LOW|0|42|4061652|12516953|6|3817952|58023|1|19980510|FOB
6|4|28|173|2|19950716|2-HIGH|0|17|1824389|17306124|6|1714925|64390|5|19951007|TRUCK
1317|2|7|160|2|19960927|2-HIGH|0|7|742112|4076204|5|705006|63609|1|19961212|SHIP
1095|5|7|112|2|19970113|3-MEDIUM|0|40|4048440|19741894|9|3684080|60726|3|19970407|MAIL
3203|3|29|190|2|19920411|5-LOW|0|41|4469779|21317582|6|4201592|65411|6|19920525|FOB
1636|2|28|169|1|19970813|2-HIGH|0|45|4811220|16520706|3|4666883|64149|1|19971004|RAIL
1382|2|11|181|1|19971226|4-NOT SPECI|0|29|3135422|17352271|8|2884588|64870|4|19980322|FOB
4036|4|19|127|2|19960106|1-URGENT|0|20|2054240|15100290|8|1889900|61627|2|19960322|TRUCK
4708|2|20|75|2|19941208|4-NOT SPECI|0|5|487535|2488168|5|463158|58504|5|19950208|MAIL
3237|2|7|4|1|19980112|4-NOT SPECI|0|31|2802400|13297868|3|2718328|54240|7|19980216|MAIL
546|5|25|67|2|19940921|1-URGENT|0|5|483530|10639187|8|444847|58023|7|19941111|AIR
4835|1|26|179|1|19980424|4-NOT SPECI|0|18|1942506|4816877|0|1942506|64750|3|19980613|MAIL
772|4|16|180|2|19951204|1-URGENT|0|10|1080180|17204268|8|993765|64810|2|19960126|AIR
417|3|25|45|1|19961001|3-MEDIUM|0|41|3874664|9835621|10|3487197|56702|1|19961031|RAIL
1986|5|22|59|1|19951006|4-NOT SPECI|0|41|3932105|10648064|3|3814141|57543|3|19951121|TRUCK
288|3|25|99|1|19940101|4-NOT SPECI|0|36|3596724|13297490|2|3524789|59945|2|19940317|TRUCK
742|1|20|102|1|19960820|3-MEDIUM|0|46|4609660|23414406|4|4425273|60126|8|19961115|SHIP
2784|5|16|58|1|19920322|2-HIGH|0|14|1341270|12505031|1|1327857|57483|8|19920606|MAIL
2688|3|19|89|1|19960331|3-MEDIUM|0|30|2967240|18191732|5|2818878|59344|4|19960524|RAIL
3233|4|10|9|1|19951115|5-LOW|0|25|2272500|5412192|4|2181600|54540|7|19960129|RAIL
2977|4|28|102|1|19960323|3-MEDIUM|0|6|601260|11389030|4|577209|60126|8|19960617|SHIP
2915|2|19|94|2|19971209|4-NOT SPECI|0|12|1192908|16477299|0|1192908|59645|3|19980219|RAIL
5856|1|13|4|2|19920714|4-NOT SPECI|0|1|90400|13508157|3|87688|54240|2|19920914|MAIL
197|2|11|178|1|19960307|2-HIGH|0|8|862536|4771866|9|784907|64690|2|19960531|SHIP
1827|6|23|21|1|19940508|2-HIGH|0|7|644714|17708022|10|580242|55261|2|19940623|AIR
5633|4|14|164|1|19920816|3-MEDIUM|0|50|5320800|20711983|2|5214384|63849|5|19920924|TRUCK
33|1|26|62|2|19951023|4-NOT SPECI|0|31|2982386|14410287|9|2713971|57723|4|19951215|TRUCK
4867|4|13|187|2|19940926|5-LOW|0|45|4892310|12245775|3|4745540|65230|7|19941101|RAIL
1377|3|13|84|2|19980525|5-LOW|0|26|2558608|3328286|7|2379505|59044|7|19980712|SHIP
2884|2|22|146|2|19941113|4-NOT SPECI|0|25|2615350|8214901|9|2379968|62768|8|19950107|MAIL
5830|3|8|32|2|19941106|2-HIGH|0|22|2050466|8475482|8|1886428|55921|0|19941212|RAIL
5282|2|13|52|1|19950709|4-NOT SPECI|0|32|3046560|6686483|2|2985628|57123|5|19950907|FOB
5408|3|5|76|1|19980728|4-NOT SPECI|0|34|3318638|11448320|10|2986774|58564|2|19980901|TRUCK
4033|2|25|38|1|19920219|5-LOW|0|34|3189302|9916142|7|2966050|56281|0|19920423|RAIL
